Polish,Ukranian,Russian
#,,
1-go Maya,1 травня,1 мая
3 Maja,3 травня,3 мая
19 Stycznia;,19 січня,19 января
27 Dywizji Piechoty,27-ма піхотна дивізія,27-я пехотная дивизия
50 P.P. Strzel. Kres.,50 п.п. Стшельцов Крес.,50 п.п. Стшелцов Крес.
A,,
Apteczna,аптечна,аптечная
B,,
ksiecia Bandurskiego,Князь Бандурський,Принц Бандурски
Bezimienna,Безіменний,Безымянный
Bielinska,Бєлінська,Белинска
Brzeska,Брест,Брест
Brzozowa,Береза,Береза
Budowlana,Будівництво,Строительство
Budyszczanska,Будищанська,Будищанска
C,,
Chmielna,Хмельницька,Хмельна
Ciasna,щільно,В обтяжку
Cicha,Спокійно,Тихий
Cerkiewna,Церква,Церковь
Cmentarna,кладовище,кладбище
Cyrkowa;,Цирк,Цирк
D,,
Dluga,Длинный,Довго
Daszynskiego,Дашинский,Дашинського
Dzika,дикий,дикий
Dużo Gonczarna,Много черного,Багато Go Black
Dabrowskiego,Домбровский,Домбровського
Dworzec Kolejowy,Железнодорожная станция,Залізнична станція
E,,
F,,
Filarecka,Філарецька,Филарецкая
Fabryczna,Фабрика,Фабрика
G,,
Gibalskiego,Гібальського,Гибальски
Gesia,Гусак,Гусь
Górka,Хілл,Холм
Gospodarcza,економічні,экономический
H,,
Hoza,повногрудий,грудастая
Hallera,Халлер,Халлер
Hołówki,Головки,Холовки
Handlowa,комерційний,коммерческий
I,,
J,,
Jasna,Яскравий,Яркий
Jaworowa,Jaworowa,Яворова
K,,
Kąpielowa,Купання,Купание
Kolejowa,Залізниця,Железнодорожный
Kołodnicka,Колодницька;,Колодницкая;
Komorowska,Коморовська,Коморовская
Kościuszki,Костюшко,Костюшко
Kowalska,Ковальська,Ковальска
Koszykowa,кошик,корзина
Kościelna,Kościelna,Косцельна
Krakowska,Краків,Краков
Królowej Bony,Королева Бона,Королева Бона
Kresowa,Кресова,Кресова
Krucza,Ворон,Ворон
Krzywa,Крива,Изгиб
Krotka,Короткий,Короткий
L,,
Lisa Kuli,Куля Ліза,Пуля Лиза
Listopadowa,Листопад,ноябрь
Legionow,Легіонов,Легионов
Lubliniecka,Люблінецька,Люблинецка
Ł,,
Łucka,Луцьк,Луцк
Listopadowa,Листопад,ноябрь
Limanowskiego,Лимановського,Лимановский
M,,
al. Marszkalwka Piłsudskiego,al. Маршалковська Пілсудський,др. Маршалковска Пилсудски
Maciejowska,Maciejowska,Мацеёвска
Magistracka,Магістрат,магистрат
Mickiewicza,Міцкевича,Мицкевич
Mieszczanska,буржуазний,буржуа
Miła,приємно,Красивый
Mało Gonczarna,Мала Гончарна,Маленькая Гончарна
Mijanka-Jachów,Міянка-Яхов,Миянка-Яхув
Młynarska,Млинарська,Млынарска
Mokra,мокрий,Влажный
Miodowa,Мед,Медовый
Myszliwska,Мишлівська,Мышливска
Monopolowa,Монополія,Монополия
Mościckiego,Мосціцький,Мосьцицкий
N,,
Niecala,Ні дюйма,Ни дюйма
Nasypowa,Масовий,Масса
Narozna,куточок,угол
Nadbrzeżna,Прибережний,Прибрежный
Nowa,новий,новый
Nowowiejska,Nowowiejska,Нововейска
Nowy Swiat,Новий світ,Новый мир
O,,
Obwodowa i Okrzei,Область та Окр,Область и Окжей
Ogrodowa,сад,сад
P,,
Parkowa,парк,парк
Pasieczna,Пасіка,пасека
Piaskowa,піщаний,Сэнди
Piłsudskiego,Пілсудського,Пилсудский
pl. Pomnikowy,мн. Монументальний,пл. Монументальный
Pomnikowa,Монументальний,Монументальный
Poniatowskiego,Понятовського,Понятовский
Poprzeczna,Поперечний,Поперечный
Polnocna,Північний,Северный
Pograniczna,прикордонний,пограничный
Podjaworska,Под'яворська,Подъяворска
Polna,поле,поле
Poludniowa,південь,юг
Powurska/Powórska,Повурська/Поворська,Повурска/Повурска
Pereca,Перетц,Перец
Prosta,Прямий,Прямой
Przeskok,Стрибок,Прыгать
Poleska,Полісся,Полесье
R,,
Rolna,сельскохозяйственный,сільськогосподарський
Rzeczna,Река,Річка
Rynek,Рынок,Ринок
S,,
Sadowa,Фруктовий сад,фруктовый сад
Sienkiewicza,Сенкевича,Сенкевич
Soborny,Соборн,Соборн
Soborna,Соборн,Соборн
Spokojna,мирний,Мирный
Sulkiewicza,Сулькевича,Сулькевич
Strażacka,пожежний,пожарник
Strzelecka,Стрільба,Стрельба
Szeroka,широкий,широкий
Staszyca,Сташиця,Сташица
Staro Cmentarna,Старе кладовище,Старое кладбище
Szpitalna,лікарня,больница
Szewczenki,Шевченка,Шевченко
Szkolna,школа,школа
Szuchajskiego,Szuchajski,Шучайски
Szlachecka,шляхетний,благородный
ks. Sznarbachowskiego,О. Шнарбачовський,о. Шнарбаховский
T,,
Topolowa,Тополя,Тополь
Toruńska,Торунська,Торунска
Torowa,Torow,Грести
Tranzyt Sarny,Транзит оленів,Олень транзит
Tuszowskiego,Тушовський,Тушовский
U,,
V,,
W,,
Wąska,вузькі,Узкий
Waligórskiego,Waligórski,Валигорски
Wierzbowa,Верба,Уиллоу
Wielka,величезний,огромный
Wiezienna,В'язниця,Тюрьма
Wilcza,Вовк,Волк
Wigury,Вігури,Вигуры
Włodzmierska,Влодзимеж,Влодзимеж
Wrzosowa,верес,вереск
Wiejska,сільський,деревенский
Wola,Воля,Воля
Wygonna,Комфортно,Комфортный
Wspolna,Поширений,Общий
Wojskowa,військовий,Военный
Warszawska,Варшава,Варшава
pl. Wolności,мн. Свобода,пл. Свобода
X,,
Y,,
Z,,
Zielona,зелений,зеленый
Zaułek Krótki,Коротка алея,Короткий переулок
Zaułek Kolejowy,Залізнична алея,Железнодорожный переулок
Zórawia,Зоров,Зоров
Zgoda,Угоду,Соглашение
Ż,,
Żeromskiego,Жеромський,Жеромский
Żwirki,Żwirki,Жвирки